SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,LATITUDE,LONGITUDE,LOCATION
2017,39,T028,25,0,25,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,23,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,24,T028,5,0,5,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,25,T028,23,0,23,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,26,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,27,T028,5,0,5,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,28,T028,3,0,3,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,30,T028,2,0,2,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,32,T028,2,0,2,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,33,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,34,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2018,37,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,23,T028,13,0,13,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,24,T028,8,0,8,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,25,T028,27,0,27,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,26,T028,18,0,18,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,27,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,28,T028,13,0,13,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,29,T028,7,0,7,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,30,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,32,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,33,T028,118,1,117,8.474576271186441,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,34,T028,35,1,34,28.571428571428573,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,35,T028,68,2,66,29.41176470588235,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,36,T028,23,1,22,43.47826086956522,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,37,T028,73,1,72,13.6986301369863,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,38,T028,17,0,17,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2019,39,T028,38,0,38,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,24,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,25,T028,2,0,2,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,26,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,27,T028,6,0,6,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,28,T028,5,0,5,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,29,T028,12,0,12,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,30,T028,54,0,54,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,31,T028,141,0,141,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,32,T028,6,0,6,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,33,T028,23,0,23,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,35,T028,94,0,94,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,36,T028,63,1,62,15.873015873015872,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,37,T028,2,0,2,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,38,T028,34,0,34,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2020,39,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,23,T028,31,0,31,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,26,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,27,T028,50,0,50,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,28,T028,43,0,43,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,29,T028,21,0,21,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,30,T028,9,0,9,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,31,T028,33,0,33,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,32,T028,130,2,128,15.384615384615383,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,33,T028,207,2,205,9.66183574879227,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,34,T028,22,1,21,45.45454545454545,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,35,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,37,T028,17,0,17,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,38,T028,31,0,31,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2021,39,T028,6,0,6,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,23,T028,4,0,4,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,24,T028,13,0,13,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,25,T028,2,0,2,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,26,T028,9,1,8,111.11111111111111,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,29,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,30,T028,12,0,12,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,32,T028,15,0,15,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,35,T028,29,1,28,34.48275862068966,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,36,T028,2,0,2,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,37,T028,41,0,41,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2022,38,T028,1,0,1,0.0,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2017,24,T033,6,0,6,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,27,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,28,T033,24,0,24,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,30,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,32,T033,6,0,6,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,33,T033,5,0,5,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,34,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,35,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,38,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,39,T033,7,0,7,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,23,T033,11,0,11,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,24,T033,10,0,10,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,25,T033,14,0,14,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,26,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,27,T033,11,0,11,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,28,T033,24,1,23,41.66666666666666,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,29,T033,26,0,26,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,30,T033,19,0,19,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,31,T033,25,0,25,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,32,T033,23,0,23,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,33,T033,38,2,36,52.63157894736842,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,34,T033,5,1,4,200.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,35,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2018,38,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,23,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,24,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,25,T033,10,0,10,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,26,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,27,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,28,T033,19,0,19,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,29,T033,22,0,22,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,30,T033,42,0,42,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,31,T033,5,0,5,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,32,T033,17,0,17,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,33,T033,31,0,31,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,34,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,35,T033,8,1,7,125.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,36,T033,6,0,6,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,37,T033,31,0,31,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,38,T033,9,0,9,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2019,39,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,24,T033,3,0,3,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,25,T033,7,0,7,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,26,T033,3,0,3,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,27,T033,18,0,18,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,28,T033,29,0,29,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,29,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,30,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,31,T033,19,0,19,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,32,T033,53,0,53,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,33,T033,81,1,80,12.34567901234568,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,34,T033,51,0,51,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,35,T033,30,0,30,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,36,T033,5,0,5,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,37,T033,3,0,3,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2020,40,T033,3,0,3,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,24,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,25,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,27,T033,3,0,3,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,28,T033,48,0,48,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,29,T033,23,0,23,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,30,T033,22,0,22,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,31,T033,56,0,56,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,32,T033,27,0,27,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,33,T033,13,0,13,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,34,T033,6,0,6,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,35,T033,2,0,2,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,37,T033,22,0,22,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,38,T033,15,1,14,66.66666666666667,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2021,39,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,23,T033,4,0,4,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,24,T033,6,0,6,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,25,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,26,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,27,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,28,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,29,T033,153,0,153,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,30,T033,25,0,25,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,31,T033,96,2,94,20.83333333333333,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,32,T033,51,0,51,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,33,T033,9,0,9,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,35,T033,5,0,5,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,37,T033,5,0,5,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,39,T033,1,0,1,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2022,40,T033,9,0,9,0.0,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2017,24,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,25,T089,9,0,9,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,26,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,27,T089,5,0,5,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,28,T089,13,0,13,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,29,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,30,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,31,T089,3,1,2,333.3333333333333,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,32,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,34,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,35,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,36,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,37,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,39,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,23,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,24,T089,8,0,8,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,25,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,28,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,29,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,31,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,32,T089,8,1,7,125.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,33,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,35,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,37,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2018,38,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,23,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,24,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,25,T089,15,0,15,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,26,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,28,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,29,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,33,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,35,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,36,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,37,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,38,T089,1,1,0,1000.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2019,39,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,24,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,27,T089,11,0,11,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,28,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,30,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,31,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,32,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,34,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,35,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,36,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2020,37,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,23,T089,5,0,5,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,24,T089,2,0,2,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,27,T089,31,0,31,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,28,T089,22,0,22,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,31,T089,7,0,7,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,32,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,33,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,34,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,37,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,38,T089,19,0,19,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2021,39,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2022,31,T089,5,0,5,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2022,32,T089,3,0,3,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2022,33,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2022,36,T089,8,0,8,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2022,37,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2022,40,T089,1,0,1,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2017,24,T090,12,0,12,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,26,T090,3,0,3,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,28,T090,4,0,4,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,29,T090,13,1,12,76.92307692307692,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,30,T090,3,0,3,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,31,T090,31,1,30,32.25806451612903,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,32,T090,14,0,14,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,33,T090,7,0,7,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,34,T090,12,1,11,83.33333333333333,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,35,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,36,T090,6,0,6,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,37,T090,2,0,2,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,38,T090,2,0,2,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2017,39,T090,13,0,13,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,23,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,24,T090,35,0,35,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,25,T090,10,0,10,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,26,T090,6,0,6,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,27,T090,3,0,3,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,28,T090,23,0,23,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,29,T090,3,1,2,333.3333333333333,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,30,T090,12,0,12,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,31,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,32,T090,46,0,46,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,33,T090,20,0,20,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,34,T090,22,0,22,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,35,T090,37,1,36,27.027027027027028,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,36,T090,45,0,45,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,37,T090,10,0,10,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,38,T090,13,0,13,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2018,39,T090,18,0,18,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,23,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,24,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,25,T090,19,0,19,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,26,T090,12,0,12,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,27,T090,11,0,11,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,28,T090,9,0,9,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,29,T090,1,0,1,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,30,T090,6,0,6,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,31,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,32,T090,19,0,19,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,33,T090,22,0,22,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,34,T090,25,0,25,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,35,T090,7,0,7,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,36,T090,1,0,1,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,38,T090,25,0,25,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2019,39,T090,7,0,7,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2020,24,T090,17,0,17,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2020,25,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2020,26,T090,8,0,8,0.0,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
